round,emission_micro,total_supply_micro,halving_index
646,100,64600,0
647,100,64700,0
648,100,64800,0
649,100,64900,0
650,100,65000,0
651,100,65100,0
652,100,65200,0
653,100,65300,0
654,100,65400,0
655,100,65500,0
656,100,65600,0
657,100,65700,0
658,100,65800,0
659,100,65900,0
660,100,66000,0
661,100,66100,0
662,100,66200,0
663,100,66300,0
664,100,66400,0
665,100,66500,0
666,100,66600,0
667,100,66700,0
668,100,66800,0
669,100,66900,0
670,100,67000,0
671,100,67100,0
672,100,67200,0
673,100,67300,0
674,100,67400,0
675,100,67500,0
676,100,67600,0
677,100,67700,0
678,100,67800,0
679,100,67900,0
680,100,68000,0
681,100,68100,0
682,100,68200,0
683,100,68300,0
684,100,68400,0
685,100,68500,0
686,100,68600,0
687,100,68700,0
688,100,68800,0
689,100,68900,0
690,100,69000,0
691,100,69100,0
692,100,69200,0
693,100,69300,0
694,100,69400,0
695,100,69500,0
696,100,69600,0
697,100,69700,0
698,100,69800,0
699,100,69900,0
700,100,70000,0
701,100,70100,0
702,100,70200,0
703,100,70300,0
704,100,70400,0
705,100,70500,0
706,100,70600,0
707,100,70700,0
708,100,70800,0
709,100,70900,0
710,100,71000,0
711,100,71100,0
712,100,71200,0
713,100,71300,0
714,100,71400,0
715,100,71500,0
716,100,71600,0
717,100,71700,0
718,100,71800,0
719,100,71900,0
720,100,72000,0
721,100,72100,0
722,100,72200,0
723,100,72300,0
724,100,72400,0
725,100,72500,0
726,100,72600,0
727,100,72700,0
728,100,72800,0
729,100,72900,0
730,100,73000,0
731,100,73100,0
732,100,73200,0
733,100,73300,0
734,100,73400,0
735,100,73500,0
736,100,73600,0
737,100,73700,0
738,100,73800,0
739,100,73900,0
740,100,74000,0
741,100,74100,0
742,100,74200,0
743,100,74300,0
744,100,74400,0
745,100,74500,0
746,100,74600,0
747,100,74700,0
748,100,74800,0
749,100,74900,0
750,100,75000,0
751,100,75100,0
752,100,75200,0
753,100,75300,0
754,100,75400,0
755,100,75500,0
756,100,75600,0
757,100,75700,0
758,100,75800,0
759,100,75900,0
760,100,76000,0
761,100,76100,0
762,100,76200,0
763,100,76300,0
764,100,76400,0
765,100,76500,0
766,100,76600,0
767,100,76700,0
768,100,76800,0
769,100,76900,0
770,100,77000,0
771,100,77100,0
772,100,77200,0
773,100,77300,0
774,100,77400,0
775,100,77500,0
776,100,77600,0
777,100,77700,0
778,100,77800,0
779,100,77900,0
780,100,78000,0
781,100,78100,0
782,100,78200,0
783,100,78300,0
784,100,78400,0
785,100,78500,0
786,100,78600,0
787,100,78700,0
788,100,78800,0
789,100,78900,0
790,100,79000,0
791,100,79100,0
792,100,79200,0
793,100,79300,0
794,100,79400,0
795,100,79500,0
796,100,79600,0
797,100,79700,0
798,100,79800,0
799,100,79900,0
800,100,80000,0
801,100,80100,0
802,100,80200,0
803,100,80300,0
804,100,80400,0
805,100,80500,0
806,100,80600,0
807,100,80700,0
808,100,80800,0
809,100,80900,0
810,100,81000,0
811,100,81100,0
812,100,81200,0
813,100,81300,0
814,100,81400,0
815,100,81500,0
816,100,81600,0
817,100,81700,0
818,100,81800,0
819,100,81900,0
820,100,82000,0
821,100,82100,0
822,100,82200,0
823,100,82300,0
824,100,82400,0
825,100,82500,0
826,100,82600,0
827,100,82700,0
828,100,82800,0
829,100,82900,0
830,100,83000,0
831,100,83100,0
832,100,83200,0
833,100,83300,0
834,100,83400,0
835,100,83500,0
836,100,83600,0
837,100,83700,0
838,100,83800,0
839,100,83900,0
840,100,84000,0
841,100,84100,0
842,100,84200,0
843,100,84300,0
844,100,84400,0
845,100,84500,0
846,100,84600,0
847,100,84700,0
848,100,84800,0
849,100,84900,0
850,100,85000,0
851,100,85100,0
852,100,85200,0
853,100,85300,0
854,100,85400,0
855,100,85500,0
856,100,85600,0
857,100,85700,0
858,100,85800,0
859,100,85900,0
860,100,86000,0
861,100,86100,0
862,100,86200,0
863,100,86300,0
864,100,86400,0
865,100,86500,0
866,100,86600,0
867,100,86700,0
868,100,86800,0
869,100,86900,0
870,100,87000,0
871,100,87100,0
872,100,87200,0
873,100,87300,0
874,100,87400,0
875,100,87500,0
876,100,87600,0
877,100,87700,0
878,100,87800,0
879,100,87900,0
880,100,88000,0
881,100,88100,0
882,100,88200,0
883,100,88300,0
884,100,88400,0
885,100,88500,0
886,100,88600,0
887,100,88700,0
888,100,88800,0
889,100,88900,0
890,100,89000,0
891,100,89100,0
892,100,89200,0
893,100,89300,0
894,100,89400,0
895,100,89500,0
896,100,89600,0
897,100,89700,0
898,100,89800,0
899,100,89900,0
900,100,90000,0
901,100,90100,0
902,100,90200,0
903,100,90300,0
904,100,90400,0
905,100,90500,0
906,100,90600,0
907,100,90700,0
908,100,90800,0
909,100,90900,0
910,100,91000,0
911,100,91100,0
912,100,91200,0
913,100,91300,0
914,100,91400,0
915,100,91500,0
916,100,91600,0
917,100,91700,0
918,100,91800,0
919,100,91900,0
920,100,92000,0
921,100,92100,0
922,100,92200,0
923,100,92300,0
924,100,92400,0
925,100,92500,0
926,100,92600,0
927,100,92700,0
928,100,92800,0
929,100,92900,0
930,100,93000,0
931,100,93100,0
932,100,93200,0
933,100,93300,0
934,100,93400,0
935,100,93500,0
936,100,93600,0
937,100,93700,0
938,100,93800,0
939,100,93900,0
940,100,94000,0
941,100,94100,0
942,100,94200,0
943,100,94300,0
944,100,94400,0
945,100,94500,0
946,100,94600,0
947,100,94700,0
948,100,94800,0
949,100,94900,0
950,100,95000,0
951,100,95100,0
952,100,95200,0
953,100,95300,0
954,100,95400,0
955,100,95500,0
956,100,95600,0
957,100,95700,0
958,100,95800,0
959,100,95900,0
960,100,96000,0
961,100,96100,0
962,100,96200,0
963,100,96300,0
964,100,96400,0
965,100,96500,0
966,100,96600,0
967,100,96700,0
968,100,96800,0
969,100,96900,0
970,100,97000,0
971,100,97100,0
972,100,97200,0
973,100,97300,0
974,100,97400,0
975,100,97500,0
976,100,97600,0
977,100,97700,0
978,100,97800,0
979,100,97900,0
980,100,98000,0
981,100,98100,0
982,100,98200,0
983,100,98300,0
984,100,98400,0
985,100,98500,0
986,100,98600,0
987,100,98700,0
988,100,98800,0
989,100,98900,0
990,100,99000,0
991,100,99100,0
992,100,99200,0
993,100,99300,0
994,100,99400,0
995,100,99500,0
996,100,99600,0
997,100,99700,0
998,100,99800,0
999,100,99900,0
1000,100,100000,0
1001,100,100100,0
1002,100,100200,0
1003,100,100300,0
1004,100,100400,0
1005,100,100500,0
1006,100,100600,0
1007,100,100700,0
1008,100,100800,0
1009,100,100900,0
1010,100,101000,0
1011,100,101100,0
1012,100,101200,0
1013,100,101300,0
1014,100,101400,0
1015,100,101500,0
1016,100,101600,0
1017,100,101700,0
1018,100,101800,0
1019,100,101900,0
1020,100,102000,0
1021,100,102100,0
1022,100,102200,0
1023,100,102300,0
1024,100,102400,0
1025,100,102500,0
1026,100,102600,0
1027,100,102700,0
1028,100,102800,0
1029,100,102900,0
1030,100,103000,0
1031,100,103100,0
1032,100,103200,0
1033,100,103300,0
1034,100,103400,0
1035,100,103500,0
1036,100,103600,0
1037,100,103700,0
1038,100,103800,0
1039,100,103900,0
1040,100,104000,0
1041,100,104100,0
1042,100,104200,0
1043,100,104300,0
1044,100,104400,0
1045,100,104500,0
1046,100,104600,0
1047,100,104700,0
1048,100,104800,0
1049,100,104900,0
1050,100,105000,0
1051,100,105100,0
1052,100,105200,0
1053,100,105300,0
1054,100,105400,0
1055,100,105500,0
1056,100,105600,0
1057,100,105700,0
1058,100,105800,0
1059,100,105900,0
1060,100,106000,0
1061,100,106100,0
1062,100,106200,0
1063,100,106300,0
1064,100,106400,0
1065,100,106500,0
1066,100,106600,0
1067,100,106700,0
1068,100,106800,0
1069,100,106900,0
